Latitude,Longitude,Agebuilding,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),TotalGHGEmissions
47.56549,-122.33221,59,1.0,1,50832,0,50832,Industrie,63.0,50.20000076,107.16
47.56558,-122.32889,60,1.0,1,98480,0,98480,Industrie,65.0,29.39999962,39.5
47.63376,-122.33968,46,1.0,7,94002,0,94002,Bureau,70.0,60.29999924,39.47
47.55515,-122.3275,42,1.0,1,93020,0,93020,Industrie,60.0,13.5,8.73
47.6153,-122.35014,70,1.0,1,23000,0,23000,Autres,,36.79999924,25.74
47.59895,-122.33379,112,1.0,5,78920,0,78920,Bureau,88.0,36.0,19.73
47.59855,-122.33327,110,1.0,7,99440,0,99440,Bureau,64.0,75.0,134.69
47.59856,-122.33379,109,1.0,6,73260,0,73260,Bureau,82.0,47.29999924,19.89
47.59979,-122.3338,116,1.0,4,69817,0,69817,Bureau,87.0,39.20000076,76.8
47.60035,-122.33379,116,1.0,4,84750,0,84750,Bureau,,30.79999924,26.04
47.60146,-122.33248,116,1.0,6,75496,13320,62176,Bureau,,62.09999847,24.89
47.59871,-122.3299,110,1.0,3,67755,0,67755,Autres,,31.0,13.28
47.59334,-122.32905,106,1.0,3,56700,0,56700,Bureau,37.0,43.40000153,31.58
47.59366,-122.32666,94,1.0,1,82852,0,82852,Industrie,83.0,30.20000076,65.56
47.57941,-122.33131,63,1.0,2,76442,0,76442,Autres,,60.59999847,132.6
47.57658,-122.33054,54,1.0,2,92792,0,92792,Industrie,56.0,35.09999847,74.18
47.58361,-122.33369,116,1.0,4,129000,25800,103200,Bureau,80.0,41.70000076,30.5
47.58781,-122.33264,62,1.0,1,78814,0,78814,Industrie,69.0,11.60000038,16.48
47.59403,-122.33367,106,1.0,6,75600,10800,64800,Industrie,15.0,43.70000076,18.74
47.59363,-122.33371,109,1.0,4,56270,0,56270,Industrie,,18.79999924,7.37
47.59701,-122.33378,112,1.0,4,66842,0,66842,Bureau,31.0,103.5,138.35
47.59639,-122.33368,107,1.0,6,75288,10800,64488,Bureau,81.0,45.40000153,20.18
47.59202,-122.33486,102,1.0,2,64512,0,64512,Bureau,53.0,97.09999847,180.76
47.58252,-122.33465,86,1.0,3,60592,0,60592,Bureau,16.0,84.59999847,47.25
47.57842,-122.33558,23,1.0,1,107930,0,107930,Commerce,57.0,70.5,100.42
47.57096,-122.3355,90,1.0,1,99084,0,99084,Industrie,83.0,18.60000038,49.25
47.56676,-122.35247,63,1.0,1,72719,0,72719,Industrie,28.0,38.20000076,42.74
47.59534849,-122.327269,86,1.0,4,76624,0,76624,Bureau,91.0,41.29999924,33.41
47.61077,-122.3361,90,1.0,6,97720,0,97720,Bureau,,33.70000076,17.28
47.60197,-122.33437,116,1.0,6,56700,0,56700,Bureau,55.0,54.29999924,21.37
47.59554,-122.32471,91,1.0,4,72000,0,72000,Bureau,89.0,38.0,23.48
47.62497,-122.35965,34,1.0,5,98668,0,98668,Bureau,91.0,44.5,30.61
47.63284,-122.37712,38,1.0,1,50660,0,50660,Commerce,51.0,58.40000153,60.7
47.63156,-122.37551,79,1.0,2,61929,0,61929,Bureau,59.0,60.70000076,55.73
47.61588,-122.34965,91,1.0,3,20565,0,20565,Bureau,65.0,40.40000153,5.59
47.60604,-122.33948,98,1.0,6,108245,14690,93555,Bureau,,47.5,50.17
47.60247,-122.33621,106,1.0,6,112560,0,112560,Bureau,86.0,54.59999847,97.82
47.60223,-122.33602,106,1.0,6,86204,0,86204,Autres,89.0,45.0,69.02
47.58716,-122.32214,65,1.0,2,112896,0,112896,Bureau,66.0,95.90000153,157.48
47.58685,-122.32501,56,1.0,1,110613,0,110613,Industrie,95.0,9.199999809,7.08
